nombre,Fecha,data
x2,07/08/2010,34.6
x2,08/08/2010,20.5
x2,09/08/2010,48.1
x2,10/08/2010,35
x2,11/08/2010,43.9
x2,12/08/2010,60.9
x2,13/08/2010,24.9
x2,14/08/2010,28.6
x2,15/08/2010,26.4
x2,16/08/2010,26.3
x2,17/08/2010,62.4
x2,18/08/2010,80.3
x2,19/08/2010,60.6
x2,20/08/2010,44.6
x2,21/08/2010,61
x2,22/08/2010,61.8
x2,23/08/2010,67.3
x2,24/08/2010,56.5
x2,25/08/2010,37.4
x2,26/08/2010,46.3
x2,27/08/2010,35.8
x2,28/08/2010,33.2
x2,29/08/2010,38
x2,30/08/2010,50.2
x2,31/08/2010,54.7
x2,01/09/2010,26.7
x2,02/09/2010,40.4
x2,03/09/2010,40.3
x2,04/09/2010,44.7
x2,05/09/2010,64.3
x2,06/09/2010,83.5
x2,07/09/2010,37.7
x2,08/09/2010,33
x2,09/09/2010,35
x2,10/09/2010,21
x2,11/09/2010,19.3
x2,12/09/2010,11.1
x2,13/09/2010,12.7
x2,14/09/2010,5
x2,15/09/2010,29.9
x2,16/09/2010,12.6
x2,17/09/2010,9.1
x2,18/09/2010,18.3
x2,19/09/2010,17.2
x2,20/09/2010,18.7
x2,21/09/2010,15.7
x2,22/09/2010,12.4
x2,23/09/2010,7.6
x2,24/09/2010,36
x2,25/09/2010,4.3
x2,26/09/2010,86
x2,27/09/2010,84.1
x2,28/09/2010,138.5
x2,29/09/2010,96.9
x2,30/09/2010,64.2
x2,01/10/2010,52.4
x2,02/10/2010,15.4
x2,03/10/2010,28.7
x2,04/10/2010,41.3
x2,05/10/2010,-41.8
x2,06/10/2010,36.4
x2,07/10/2010,10.4
x2,08/10/2010,3.5
x2,09/10/2010,25.3
x2,10/10/2010,-4.9
x2,11/10/2010,26.3
x2,12/10/2010,5.1
x2,13/10/2010,-8.4
x2,14/10/2010,44.5
x2,15/10/2010,37.5
x2,16/10/2010,9.1
x2,17/10/2010,20.4
x2,18/10/2010,11.1
x2,19/10/2010,12.8
x2,20/10/2010,10
x2,21/10/2010,7.5
x2,22/10/2010,9.8
x2,23/10/2010,9.7
x2,24/10/2010,17.1
x2,25/10/2010,6.6
x2,26/10/2010,20
x2,27/10/2010,3.4
x2,28/10/2010,15.6
x2,29/10/2010,-2.5
x2,30/10/2010,7.4
x2,31/10/2010,19.9
x2,01/11/2010,0.7
x2,02/11/2010,20
x2,03/11/2010,7
x2,04/11/2010,10.9
x2,05/11/2010,11.6
x2,06/11/2010,9.7
x2,07/11/2010,11.3
x2,08/11/2010,5.6
x2,09/11/2010,5.2
x2,10/11/2010,2.4
x2,11/11/2010,9.2
x2,12/11/2010,10.7
x2,13/11/2010,6.2
x2,14/11/2010,11.5
x2,15/11/2010,-0.7
x2,16/11/2010,11.1
x2,17/11/2010,5.9
x2,18/11/2010,9
x2,19/11/2010,11.4
x2,20/11/2010,8
x2,21/11/2010,4.2
x2,22/11/2010,-1.8
x2,23/11/2010,3.8
x2,24/11/2010,3.5
x2,25/11/2010,12.3
x2,26/11/2010,10.6
x2,27/11/2010,-0.5
x2,28/11/2010,10.8
x2,29/11/2010,1.1
x2,30/11/2010,12.8
x2,01/12/2010,6.9
x2,02/12/2010,-0.7
x2,03/12/2010,9.4
x2,04/12/2010,9.3
x2,05/12/2010,2.6
x2,06/12/2010,2.9
x2,07/12/2010,4.8
x2,08/12/2010,19.8
x2,09/12/2010,5.7
x2,10/12/2010,2.7
x2,11/12/2010,1.5
x2,12/12/2010,12.7
x2,13/12/2010,3.7
x2,14/12/2010,6.4
x2,15/12/2010,2.1
x2,16/12/2010,2.7
x2,17/12/2010,4.9
x2,18/12/2010,8.1
x2,19/12/2010,6.1
x2,20/12/2010,-0.4
x2,21/12/2010,5.4
x2,22/12/2010,4.7
x2,23/12/2010,10.4
x2,24/12/2010,3.1
x2,25/12/2010,11.9
x2,26/12/2010,0.2
x2,27/12/2010,-1.2
x2,28/12/2010,0.8
x2,29/12/2010,3.7
x2,30/12/2010,5.9
x2,31/12/2010,9
x2,01/01/2011,4.86
x2,02/01/2011,20.71
x2,03/01/2011,10.63
x2,04/01/2011,9.27
x2,05/01/2011,4.23
x2,06/01/2011,9.06
x2,07/01/2011,3.51
x2,08/01/2011,5.73
x2,09/01/2011,27.57
x2,10/01/2011,13.55
x2,11/01/2011,19.86
x2,12/01/2011,44.57
x2,13/01/2011,22.45
x2,14/01/2011,26.14
x2,15/01/2011,6.73
x2,16/01/2011,13.73
x2,17/01/2011,3.88
x2,18/01/2011,21.46
x2,19/01/2011,-5.12
x2,20/01/2011,11.54
x2,21/01/2011,12.89
x2,22/01/2011,13.29
x2,23/01/2011,-5.69
x2,24/01/2011,1.03
x2,25/01/2011,13.69
x2,26/01/2011,8.21
x2,27/01/2011,6.08
x2,28/01/2011,3.71
x2,29/01/2011,6.51
x2,30/01/2011,8.2
x2,31/01/2011,7.13
x2,01/02/2011,3.01
x2,02/02/2011,6.68
x2,03/02/2011,17.71
x2,04/02/2011,5.36
x2,05/02/2011,1.85
x2,06/02/2011,14.01
x2,07/02/2011,19.37
x2,08/02/2011,7.1
x2,09/02/2011,7.97
x2,10/02/2011,28.31
x2,11/02/2011,11.57
x2,12/02/2011,24.48
x2,13/02/2011,-1.48
x2,14/02/2011,9.28
x2,15/02/2011,10.61
x2,16/02/2011,15.77
x2,17/02/2011,14.22
x2,18/02/2011,9.35
x2,19/02/2011,6.8
x2,20/02/2011,9.53
x2,21/02/2011,-5.08
x2,22/02/2011,5.05
x2,23/02/2011,12.31
x2,24/02/2011,7.95
x2,25/02/2011,6.99
x2,26/02/2011,8.9
x2,27/02/2011,5.19
